len, time
10,23108
20,78356
30,138502
40,233599
50,375295
60,442039
70,790086
80,559860
90,1052772
100,1169560
110,1117136
120,1789033
130,1309771
140,1626059
150,1879166
160,1911591
170,2016901
180,2250857
190,2519822
200,2820117
210,3003715
220,3346337
230,3638310
240,4130571
250,4368078
260,4689283
270,5099104
280,5330225
290,5791907
300,6170580
310,6548754
320,6961247
330,7421818
340,7863767
350,8410432
360,8897163
370,9552923
380,10030180
390,10489844
400,10997561
410,11627430
420,12074201
430,12731793
440,13182257
450,13812297
460,14557223
470,15607217
480,15737041
490,16416585
500,17129106
510,17918404
520,18630694
530,20783031
540,20429551
550,20806427
560,21441197
570,22626546
580,23315013
590,24007391
600,24821214
610,25769195
620,26438162
630,27337596
640,28226791
650,29586627
660,29944807
670,30959956
680,32206488
690,32688303
700,33469639
710,35058971
720,35507894
730,36905474
740,37744347
750,38862325
760,39807278
770,41318812
780,42049737
790,46809777
800,43921766
810,45914802
820,46271409
830,47715276
840,48352277
850,50015941
860,51587921
870,52121396
880,53098837
890,54863405
900,55465385
910,57337314
920,58014067
930,59316398
940,60877993
950,63002516
960,64470254
970,66324901
980,66950114
990,68903275
1000,69858912
