len, time
10,26764
20,55063
30,91577
40,160169
50,303627
60,401439
70,577003
80,747372
90,808859
100,1173773
110,1621005
120,1259554
130,1590530
140,1413144
150,1420740
160,1606922
170,1930744
180,2108101
190,2366729
200,2464713
210,2747242
220,3035214
230,3247327
240,3483108
250,3851119
260,4135218
270,4440120
280,5077637
290,5203133
300,5503004
310,5830071
320,6135027
330,6770784
340,6983960
350,7446286
360,7855810
370,8297224
380,8872676
390,9283749
400,10012480
410,10555778
420,10750707
430,11211001
440,11768014
450,12241311
460,12977238
470,13579899
480,14042720
490,14651951
500,15081503
510,15817387
520,17947422
530,17122873
540,24001509
550,19276477
560,19276526
570,19676098
580,20421444
590,21070295
600,21783881
610,22576790
620,23209859
630,24018948
640,25450419
650,25441099
660,26369140
670,27112030
680,27816164
690,28690664
700,29594876
710,31212632
720,31264805
730,32815985
740,33224552
750,33876925
760,35048191
770,36608439
780,36952416
790,37785273
800,38766368
810,40164035
820,41248092
830,41779626
840,49408654
850,44004557
860,45017937
870,46496666
880,46992889
890,48529296
900,49604774
910,51182821
920,51750622
930,52825705
940,54175718
950,54885344
960,56596713
970,57612506
980,60243759
990,59595081
1000,62780015
