len,time
100,292631
200,944192
300,1834257
400,2721798
500,3881352
600,5663322
700,7765580
800,10132276
900,12978073
1000,16167645
1100,19337299
1200,23742700
1300,27370780
1400,31886337
1500,38708743
1600,43092070
1700,51065988
1800,56205237
1900,66866243
2000,67566223
2100,73685137
2200,79659621
2300,88516769
2400,99088195
2500,118126842
2600,126529848
2700,125911778
2800,135692434
2900,146728759
3000,155339454
3100,170360699
3200,180221848
3300,236231805
3400,274033533
3500,379473782
3600,437244846
3700,394514037
3800,461227820
3900,488377944
4000,411097461
4100,576164475
4200,660903724
4300,696316395
4400,707637847
4500,732960541
4600,721719630
4700,788426936
4800,821881765
4900,862219633
5000,901891709
5100,1063161720
5200,1016784612
5300,1029902108
5400,1259622862
5500,1230433506
5600,1223200725
5700,1376727843
5800,1491666256
5900,1341244392
6000,1541897068
6100,1729039940
6200,1838125050
6300,1849907718
6400,1433502302
6500,1750795413
6600,1762721057
6700,1411794472
6800,1875840690
6900,1860062853
7000,2180064255
7100,1791037558
7200,2086081641
7300,2060143099
7400,2158732263
7500,2147412947
7600,2305378121
7700,2188591451
7800,1872846550
7900,2044002275
8000,1825396776
8100,1582915105
8200,1539929443
8300,1615613977
8400,1613185853
8500,1655963922
8600,1797578335
8700,1974401570
8800,1949233827
8900,1779026275
9000,2049173045
9100,1945089759
9200,1922896068
9300,1704575995
9400,1698769477
9500,1669050312
9600,1784616709
9700,1955529291
9800,1772712642
9900,1700622445
10000,1909321827
