len,time
100,5167
200,6003
300,6511
400,8674
500,10818
600,12954
700,15087
800,17149
900,19374
1000,21434
1100,23461
1200,35163
1300,40313
1400,39316
1500,32093
1600,34615
1700,36150
1800,38507
1900,49714
2000,60583
2100,46680
2200,47189
2300,48940
2400,51345
2500,58935
2600,69065
2700,81354
2800,60160
2900,64166
3000,67385
3100,69206
3200,70765
3300,77013
3400,67128
3500,67173
3600,72042
3700,72030
3800,73825
3900,81271
4000,82888
4100,89096
4200,80988
4300,85113
4400,87012
4500,92213
4600,119601
4700,134852
4800,117789
4900,101699
5000,99242
5100,100020
5200,123774
5300,103226
5400,106151
5500,112774
5600,118044
5700,124692
5800,116665
5900,126507
6000,116222
6100,119343
6200,128537
6300,127000
6400,133259
6500,137397
6600,139937
6700,123198
6800,124752
6900,121956
7000,126514
7100,118429
7200,117217
7300,118832
7400,123867
7500,133273
7600,131139
7700,136234
7800,132459
7900,140672
8000,134104
8100,139552
8200,141948
8300,141825
8400,163092
8500,159980
8600,154506
8700,151562
8800,146652
8900,154756
9000,149785
9100,194561
9200,186510
9300,191215
9400,135857
9500,137157
9600,137708
9700,141005
9800,142682
9900,143634
10000,148156
