len,time
100,90354
200,346478
300,791308
400,1539086
500,2127235
600,3291365
700,4156922
800,5469421
900,7012200
1000,8378937
1100,9925580
1200,16511789
1300,26125857
1400,29873837
1500,35009803
1600,39116318
1700,43170768
1800,49494373
1900,38809742
2000,34554113
2100,39725454
2200,41105424
2300,45378770
2400,51266607
2500,54028871
2600,59064993
2700,63940394
2800,66466810
2900,75795714
3000,81969911
3100,82910384
3200,89528860
3300,115050858
3400,185503588
3500,169995786
3600,117172410
3700,123910606
3800,135061062
3900,253434800
4000,301679267
4100,293753577
4200,282419123
4300,295810384
4400,313503972
4500,291955671
4600,330558264
4700,441258189
4800,474139281
4900,407548970
5000,512187969
5100,481204469
5200,514032738
5300,475222253
5400,506761036
5500,379479491
5600,527363570
5700,590808144
5800,632623030
5900,599335019
6000,521737257
6100,552860003
6200,739587802
6300,754388679
6400,761281008
6500,684645123
6600,929322095
6700,795479358
6800,925844051
6900,918410747
7000,1077308912
7100,1233237038
7200,1084517200
7300,1065829554
7400,1118109243
7500,1192677480
7600,1399605039
7700,1400008663
7800,1420105105
7900,1187964607
8000,1053829647
8100,1387969408
8200,1398893372
8300,1283010590
8400,1484161263
8500,1486562233
8600,1420011261
8700,1552616753
8800,1435123168
8900,1462693831
9000,1525306897
9100,1659947553
9200,1607866690
9300,1642470392
9400,1669735905
9500,1808691897
9600,1743710189
9700,1699417752
9800,1369647021
9900,1476326684
10000,1236508800
