len,time
100,191364
200,746576
300,1199716
400,1648564
500,2428741
600,3491501
700,4721387
800,6147504
900,7730881
1000,9550187
1100,11948156
1200,14405375
1300,16682517
1400,19499984
1500,23576447
1600,24931025
1700,28154869
1800,35815477
1900,34685045
2000,38332398
2100,43507313
2200,46512726
2300,50709773
2400,57132623
2500,59805084
2600,65748383
2700,72365225
2800,75557296
2900,80580686
3000,89657649
3100,94885888
3200,102140013
3300,108625117
3400,115098913
3500,124798121
3600,129890174
3700,137030765
3800,159814636
3900,173277350
4000,175885083
4100,189774148
4200,204926008
4300,218744154
4400,231156802
4500,242939027
4600,249687854
4700,258955634
4800,268100024
4900,282570577
5000,294158110
5100,323680904
5200,315811737
5300,352295567
5400,367903169
5500,513008395
5600,413624801
5700,431755638
5800,640631945
5900,978167616
6000,978606887
6100,1123883139
6200,1163979290
6300,1077980896
6400,1218968165
6500,1263242997
6600,1378339831
6700,1327205397
6800,1181764358
6900,1414910999
7000,1614872472
7100,1258559896
7200,1727592943
7300,1942917691
7400,1776261939
7500,1932976837
7600,2159637743
7700,2148506960
7800,2034781947
7900,2167972848
8000,1862416023
8100,2247479733
8200,2214206127
8300,2265471768
8400,2032563595
8500,2297330552
8600,2454480435
8700,2432269446
8800,2350173996
8900,2387644216
9000,2378232599
9100,2300490712
9200,1725055895
9300,1560766700
9400,1509550146
9500,1568451825
9600,1566781266
9700,1591751919
9800,1831207147
9900,1879619913
10000,1898460281
