len,time
100,16019
200,31405
300,58642
400,72241
500,96285
600,114628
700,138520
800,173527
900,192308
1000,224463
1100,248820
1200,414119
1300,308467
1400,347684
1500,355894
1600,387408
1700,435329
1800,584031
1900,616185
2000,492535
2100,571028
2200,554598
2300,548218
2400,650834
2500,681768
2600,715153
2700,766637
2800,670141
2900,754704
3000,833587
3100,827725
3200,796815
3300,819180
3400,879241
3500,1401469
3600,1208641
3700,1380393
3800,1128006
3900,1064803
4000,1135394
4100,1129703
4200,1166511
4300,1261813
4400,1240111
4500,1191033
4600,1255097
4700,1252741
4800,1447076
4900,1593164
5000,1402273
5100,1523167
5200,1399926
5300,1665844
5400,1536322
5500,1533948
5600,1594170
5700,1649331
5800,1965693
5900,1745296
6000,1712113
6100,1865445
6200,1752271
6300,1787341
6400,1792849
6500,1849068
6600,2070091
6700,2291278
6800,2061878
6900,1919612
7000,1935728
7100,2109964
7200,2152059
7300,2408734
7400,2452863
7500,2272729
7600,2237851
7700,2228767
7800,2222713
7900,2528030
8000,3057009
8100,2413973
8200,2369931
8300,2335404
8400,2324116
8500,2721839
8600,3311224
8700,2586369
8800,2425971
8900,2624365
9000,2564215
9100,3446676
9200,3025637
9300,2856087
9400,2664642
9500,2875018
9600,2909295
9700,2980866
9800,2812574
9900,2870746
10000,2938340
