len,time
100,344221
200,1310207
300,2880109
400,4983555
500,7689322
600,11034754
700,15469272
800,20263792
900,25056075
1000,31175127
1100,38119965
1200,46739541
1300,57770676
1400,66381514
1500,75204593
1600,86642280
1700,97820067
1800,109615895
1900,120881195
2000,136764092
2100,141696099
2200,154422942
2300,168987845
2400,183657967
2500,200074175
2600,217913820
2700,249632736
2800,260422638
2900,313811285
3000,327563112
3100,346001620
3200,345953612
3300,370518557
3400,425659868
3500,424163896
3600,472061799
3700,452421528
3800,518342451
3900,502083401
4000,546480125
4100,591015352
4200,648952555
4300,673226280
4400,742966020
4500,811737524
4600,783745864
4700,822454297
4800,941278184
4900,1015674049
5000,1018151093
5100,1004498433
5200,1087049037
5300,1321148884
5400,1103565168
5500,1202813314
5600,1035649114
5700,1429436388
5800,1701131937
5900,1590904925
6000,1547046152
6100,1482270976
6200,1648479401
6300,1480082341
6400,1649882011
6500,1665241437
6600,1787788721
6700,1889948322
6800,1887127926
6900,1837316034
7000,1743557907
7100,1810096533
7200,2059971292
7300,1877422306
7400,2068751817
7500,2189431432
7600,1907179143
7700,1721514963
7800,1585262356
7900,1471848719
8000,1436154700
8100,1482881746
8200,1513856829
8300,1528422954
8400,1659490475
8500,2009416566
8600,1806908701
8700,1725572411
8800,1745846962
8900,1947067621
9000,1842656549
9100,1722064752
9200,1627019074
9300,1553910668
9400,1609773602
9500,1744706995
9600,1885740906
9700,1671408059
9800,1635817846
9900,1840778198
10000,1786098020
