len,time
100,132681
200,478231
300,983942
400,2014183
500,2685877
600,2789588
700,3942163
800,5013790
900,6208881
1000,8325080
1100,9056491
1200,11545254
1300,13439197
1400,15196312
1500,17538630
1600,19773021
1700,22353964
1800,26031996
1900,28511665
2000,30914839
2100,34673471
2200,37783709
2300,41151921
2400,45659517
2500,49782203
2600,53362599
2700,57903361
2800,66491171
2900,66704545
3000,70453659
3100,76988229
3200,91395163
3300,96710989
3400,92044278
3500,99728040
3600,102333831
3700,109085117
3800,115289259
3900,119544687
4000,124909723
4100,130095262
4200,155583082
4300,149147349
4400,154285919
4500,162877054
4600,169768951
4700,174006260
4800,243115570
4900,191363802
5000,197907759
5100,206159083
5200,217485175
5300,251248831
5400,238637483
5500,244236914
5600,254034585
5700,278037899
5800,272390061
5900,292844286
6000,323672532
6100,357964234
6200,326538753
6300,395131624
6400,370988843
6500,352759295
6600,378596595
6700,375696888
6800,392231868
6900,421333875
7000,408559091
7100,439899908
7200,441598792
7300,463609790
7400,463533381
7500,480877176
7600,483451293
7700,475699740
7800,514048283
7900,517838106
8000,581014531
8100,540192972
8200,569389953
8300,592701991
8400,585152970
8500,638197498
8600,637786539
8700,671979473
8800,686670930
8900,707904287
9000,704751076
9100,780647821
9200,910580292
9300,846767067
9400,859859142
9500,822921590
9600,890250805
9700,979985435
9800,902348060
9900,916784454
10000,972723946
