len,time
100,416997
200,1258523
300,2641736
400,5781812
500,7392743
600,9618412
700,15930882
800,16133725
900,20565466
1000,25580596
1100,33136267
1200,35637372
1300,42460167
1400,50579038
1500,55846904
1600,65863181
1700,75289273
1800,79763325
1900,85565472
2000,95167090
2100,105697639
2200,115540747
2300,125167087
2400,136235129
2500,149061735
2600,162710354
2700,176875467
2800,201036470
2900,208920207
3000,255754840
3100,278880541
3200,296660925
3300,188451947
3400,206731716
3500,203310746
3600,368584855
3700,413271935
3800,388278524
3900,375665430
4000,343001649
4100,413352956
4200,460730050
4300,484815430
4400,471799511
4500,552853551
4600,589778335
4700,590952849
4800,606278649
4900,677677899
5000,695128380
5100,724182739
5200,811601104
5300,733113972
5400,880326935
5500,912924165
5600,909994614
5700,909278847
5800,1233686136
5900,1121255086
6000,1056627843
6100,1100150274
6200,1272559773
6300,1395090517
6400,1427912662
6500,1407485655
6600,1383028888
6700,1109731380
6800,1561405125
6900,1532220424
7000,1331812381
7100,1554305878
7200,1471641633
7300,1562064074
7400,1263909435
7500,1624404162
7600,1733837570
7700,1792820579
7800,1720562153
7900,1759373954
8000,1917853077
8100,1865863648
8200,1911084871
8300,1971265876
8400,1596082825
8500,1496323347
8600,1481715275
8700,1389471985
8800,1345283626
8900,1390490790
9000,1435706620
9100,1436992597
9200,1483361412
9300,1792437539
9400,1646344967
9500,1731559052
9600,1567291750
9700,1727813887
9800,1791843411
9900,1747242750
10000,1589987459
