len,time
100,325449
200,1708500
300,2967105
400,5094177
500,6990656
600,8479099
700,9645573
800,11600128
900,11264348
1000,17276223
1100,17087747
1200,21100285
1300,26051442
1400,29944180
1500,32916621
1600,36874380
1700,43146265
1800,47329248
1900,53849361
2000,61579133
2100,67271731
2200,71958465
2300,78094653
2400,86537632
2500,94175191
2600,101855052
2700,109092382
2800,132690929
2900,125658844
3000,134482247
3100,149707935
3200,159478782
3300,166080129
3400,174514955
3500,201350372
3600,194116576
3700,205667675
3800,217893709
3900,227416233
4000,254689764
4100,251846405
4200,263617034
4300,280906632
4400,296449553
4500,308695992
4600,330849121
4700,356795096
4800,340504160
4900,363163277
5000,386424509
5100,409383091
5200,432379778
5300,440244008
5400,463535872
5500,475322367
5600,499815087
5700,515740163
5800,535506605
5900,558768393
6000,595713511
6100,594942376
6200,632100086
6300,629815872
6400,673384221
6500,714175723
6600,716583754
6700,757855390
6800,778274481
6900,807075899
7000,817954002
7100,838943016
7200,882885096
7300,902120515
7400,959249778
7500,997642053
7600,972039394
7700,983626113
7800,1040031532
7900,1087813084
8000,1148311453
8100,1192287172
8200,1240079323
8300,1323790340
8400,1333192585
8500,1364950799
8600,1576354992
8700,1460954576
8800,1516610343
8900,1532931357
9000,1522788609
9100,1585704965
9200,1620547107
9300,1745855652
9400,1740109742
9500,1890121823
9600,2059413322
9700,2058949144
9800,2115279224
9900,2282038739
10000,2179746817
