len,time
100,218880
200,656377
300,1962687
400,3164884
500,3311099
600,4094072
700,5113073
800,5217976
900,7398511
1000,8033107
1100,9507482
1200,10590393
1300,12595492
1400,14224706
1500,16432951
1600,18492003
1700,21380963
1800,24013932
1900,25556827
2000,30040747
2100,32524582
2200,35835825
2300,38056773
2400,41729703
2500,47000223
2600,49343036
2700,52371366
2800,56219603
2900,60650996
3000,65711453
3100,70049799
3200,75456166
3300,77911731
3400,81691586
3500,103480135
3600,97647740
3700,98630623
3800,105142659
3900,109791585
4000,115452748
4100,119907442
4200,131386577
4300,133957252
4400,149708302
4500,146307307
4600,156721421
4700,160266677
4800,170061245
4900,176465152
5000,192835131
5100,188015842
5200,193715951
5300,204808304
5400,216156389
5500,232606244
5600,224677491
5700,235230152
5800,249155232
5900,264921226
6000,279779845
6100,295985483
6200,317139605
6300,294421931
6400,305183043
6500,324627882
6600,323188009
6700,340337407
6800,367219273
6900,382309697
7000,375504983
7100,397014295
7200,403129635
7300,415137638
7400,420508277
7500,433250307
7600,457194545
7700,454463226
7800,475285623
7900,474475962
8000,504161038
8100,509416801
8200,541962416
8300,551643903
8400,583645420
8500,597650036
8600,590650373
8700,594655130
8800,605895861
8900,653082062
9000,729458680
9100,707573877
9200,761514990
9300,787650278
9400,797801621
9500,766997872
9600,805471419
9700,819121956
9800,823422554
9900,852685811
10000,861831963
