len,time
100,45226
200,141356
300,292400
400,540084
500,795319
600,1067145
700,1406242
800,1739517
900,2047659
1000,2352460
1100,2664979
1200,3025902
1300,3327354
1400,3620006
1500,3949301
1600,4281731
1700,4638877
1800,5042824
1900,5450130
2000,5913658
2100,6398131
2200,6935952
2300,7469358
2400,8031087
2500,8575187
2600,9154239
2700,9810410
2800,10449517
2900,11117025
3000,11822254
3100,12560691
3200,13340248
3300,14106884
3400,14934272
3500,15793624
3600,16706038
3700,17618382
3800,18535055
3900,19472794
4000,20498578
4100,21455958
4200,22434790
4300,23450669
4400,24591219
4500,25768496
4600,26892154
4700,28043409
4800,29262690
4900,30423213
5000,31751811
5100,33031304
5200,34415145
5300,35749452
5400,37084713
5500,38554440
5600,40005354
5700,41402169
5800,42987523
5900,44561592
6000,46088392
6100,47856451
6200,49401333
6300,51187582
6400,52810802
6500,54625916
6600,56445087
6700,58179402
6800,60320578
6900,62779243
7000,64780719
7100,66702408
7200,68793742
7300,70818053
7400,72876088
7500,75024406
7600,77299375
7700,79350125
7800,81511131
7900,83658981
8000,85939044
8100,88084753
8200,90263370
8300,92411145
8400,94710825
8500,97190980
8600,99562726
8700,102005799
8800,104372370
8900,106828230
9000,109222310
9100,111803820
9200,114268935
9300,116695826
9400,119357683
9500,121873724
9600,124523296
9700,127185576
9800,129923328
9900,132574668
10000,135302344
