qty,time
10,4803147
20,3768888
30,5148711
40,3518952
50,4723312
60,4402620
70,5607198
80,5057099
90,5366616
100,5826616
110,6079622
120,6999791
130,6859457
140,8501001
150,8026102
160,8399777
170,8839274
180,9357037
190,9596044
200,9927234
210,10405136
220,10993884
230,11006375
240,12227942
250,12258293
260,19378434
270,24035091
280,15739107
290,15945306
300,18979735
310,14797259
320,17567831
330,15468949
340,16044880
350,25407272
360,16985575
370,18480279
380,30589938
390,21884452
400,21771780
410,25669324
420,26589749
430,22854045
440,21163844
450,23594314
460,33495606
470,28839115
480,27516684
490,25332256
500,22778378
510,23857985
520,33485923
530,27492074
540,35286446
550,28661524
560,25497552
570,25905456
580,30600571
590,27244647
600,30241980
610,44413518
620,30230054
630,33627151
640,34548299
650,31914625
660,40066261
670,36160169
680,39660840
690,30988959
700,34515464
710,31637595
720,37574079
730,20687355
740,16660038
750,14542926
760,14487184
770,18354150
780,20667045
790,28426850
800,43313258
810,45188888
820,29457791
830,30536923
840,27860147
850,28438762
860,25246825
870,28933327
880,36406331
890,30346118
900,28931032
910,37424813
920,34130209
930,45503440
940,40756820
950,36997207
960,38689401
970,38963648
980,43529788
990,50020057
1000,39843431
