qty,time
10,3097234
20,2790234
30,3194749
40,4248135
50,4377965
60,5268278
70,5414241
80,5968781
90,6339739
100,6939730
110,7734983
120,8045968
130,8538140
140,9492923
150,10123170
160,16948299
170,16572074
180,11278389
190,11873356
200,14981065
210,12993864
220,15017604
230,14702205
240,16202248
250,14928669
260,15353020
270,15923648
280,18382530
290,22078531
300,21535974
310,22607881
320,19004030
330,21298947
340,22412204
350,24633415
360,21209217
370,21187130
380,24568134
390,30024289
400,22884857
410,26693590
420,24097011
430,24433644
440,27750078
450,28274382
460,37926442
470,30123886
480,29263282
490,31074099
500,29026641
510,32256928
520,29375805
530,43843279
540,32366746
550,31663566
560,34624547
570,32339020
580,32202050
590,42928837
600,33909700
610,43409021
620,41286161
630,38036824
640,36341806
650,19521885
660,22211548
670,19887374
680,26051774
690,22568903
700,28885940
710,20787208
720,23722302
730,28462558
740,24118055
750,24271176
760,22259086
770,28912965
780,24629476
790,22050229
800,23054393
810,27962018
820,23974388
830,22812243
840,26824859
850,34062377
860,46662311
870,59599521
880,49649546
890,50409833
900,55422888
910,49794911
920,44119636
930,49833637
940,52248411
950,49627598
960,28546493
970,26692215
980,26934651
990,28066495
1000,29632027
