qty,time
10,1302215
20,1807563
30,2804989
40,3605742
50,4196390
60,5639835
70,5167247
80,4045616
90,4481825
100,4968217
110,4471914
120,3227840
130,2737540
140,2488063
150,2361941
160,2483572
170,2627957
180,2785653
190,3369640
200,3411449
210,3489319
220,3467677
230,3611854
240,3780200
250,3939826
260,4256702
270,4767267
280,4459979
290,4564045
300,4668235
310,4794463
320,5195431
330,5202112
340,5303479
350,5423845
360,5612823
370,5898866
380,5924136
390,6033825
400,6190309
410,6342426
420,6498535
430,6652543
440,6806586
450,6976257
460,7145709
470,7477981
480,9558886
490,7710029
500,7777240
510,7891074
520,8044517
530,8217261
540,9069140
550,8668862
560,8773559
570,8816731
580,9002651
590,9125826
600,9496657
610,9485813
620,9603787
630,9744879
640,9901364
650,10055706
660,10209812
670,10363348
680,10567467
690,10677224
700,12910901
710,11523030
720,11355167
730,11304448
740,12149498
750,11694673
760,11754670
770,11917547
780,12232288
790,12243377
800,12378655
810,12524018
820,12685064
830,12841584
840,13015557
850,13303775
860,14957061
870,14274496
880,13765237
890,13888127
900,14747867
910,14699219
920,14468327
930,14703645
940,14719894
950,14692937
960,14973164
970,15047644
980,15183175
990,15316732
1000,17402879
